feature_removed,pipeline,seed,n_common,valid_solution,min_cluster_fraction,ari_after_removal,destabilization
FT4,median-zscore-none-kmeans,4,1286,True,0.3048211508553655,0.9464583592314634,0.026770820384268312
ATA_TPO,median-zscore-pca80-gmm,0,1286,True,0.3701399688958009,0.7187638210221213,0.14061808948893934
ATA_TPO,median-zscore-pca80-gmm,1,1286,True,0.3678071539657854,0.7213534551527443,0.13932327242362785
ATA_TPO,median-zscore-pca80-gmm,2,1286,True,0.3701399688958009,0.7187638210221213,0.14061808948893934
ATA_TPO,median-zscore-pca80-gmm,3,1286,True,0.3631415241057543,0.7158680210990007,0.14206598945049964
ATA_TPO,median-zscore-pca80-gmm,4,1286,True,0.36391912908242613,0.718557136592226,0.140721431703887
ATA_TPO,median-robust-pca80-gmm,0,1286,True,0.1827371695178849,0.12670315216067615,0.4366484239196619
ATA_TPO,median-robust-pca80-gmm,1,1286,True,0.1827371695178849,0.12670315216067615,0.4366484239196619
ATA_TPO,median-robust-pca80-gmm,2,1286,True,0.1827371695178849,0.12670315216067615,0.4366484239196619
ATA_TPO,median-robust-pca80-gmm,3,1286,True,0.45023328149300157,0.5134461102883564,0.2432769448558218
ATA_TPO,median-robust-pca80-gmm,4,1286,True,0.45023328149300157,0.5134461102883564,0.2432769448558218
ATA_TPO,median-zscore-none-kmeans,0,1286,True,0.2986003110419907,0.9968068426884779,0.0015965786557610717
ATA_TPO,median-zscore-none-kmeans,1,1286,True,0.2986003110419907,1.0,0.0
ATA_TPO,median-zscore-none-kmeans,2,1286,True,0.2986003110419907,1.0,0.0
ATA_TPO,median-zscore-none-kmeans,3,1286,True,0.2986003110419907,1.0,0.0
ATA_TPO,median-zscore-none-kmeans,4,1286,True,0.29937791601866254,0.9936173353772251,0.0031913323113874625
ANTI_TG,median-zscore-pca80-gmm,0,1286,True,0.307153965785381,0.81326445958853,0.093367770205735
ANTI_TG,median-zscore-pca80-gmm,1,1286,True,0.3094867807153966,0.8161998515806478,0.09190007420967611
ANTI_TG,median-zscore-pca80-gmm,2,1286,True,0.307153965785381,0.81326445958853,0.093367770205735
ANTI_TG,median-zscore-pca80-gmm,3,1286,True,0.307153965785381,0.81326445958853,0.093367770205735
ANTI_TG,median-zscore-pca80-gmm,4,1286,True,0.3048211508553655,0.8103307130790957,0.09483464346045217
ANTI_TG,median-robust-pca80-gmm,0,1286,True,0.27060653188180406,0.18418218356647015,0.40790890821676495
ANTI_TG,median-robust-pca80-gmm,1,1286,True,0.27060653188180406,0.18418218356647015,0.40790890821676495
ANTI_TG,median-robust-pca80-gmm,2,1286,True,0.27060653188180406,0.18418218356647015,0.40790890821676495
ANTI_TG,median-robust-pca80-gmm,3,1286,True,0.27060653188180406,0.18418218356647015,0.40790890821676495
ANTI_TG,median-robust-pca80-gmm,4,1286,True,0.27060653188180406,0.18418218356647015,0.40790890821676495
ANTI_TG,median-zscore-none-kmeans,0,1286,True,0.2986003110419907,0.9904354377493786,0.004782281125310706
ANTI_TG,median-zscore-none-kmeans,1,1286,True,0.2986003110419907,0.9936173302008223,0.003191334899588838
ANTI_TG,median-zscore-none-kmeans,2,1286,True,0.2986003110419907,0.9936173302008223,0.003191334899588838
ANTI_TG,median-zscore-none-kmeans,3,1286,True,0.2986003110419907,0.9936173302008223,0.003191334899588838
ANTI_TG,median-zscore-none-kmeans,4,1286,True,0.2986003110419907,0.9968055137436942,0.0015972431281529031
GLU0,median-zscore-pca80-gmm,0,1286,True,0.31959564541213065,0.8022779186294723,0.09886104068526386
GLU0,median-zscore-pca80-gmm,1,1286,True,0.31959564541213065,0.8022779186294723,0.09886104068526386
GLU0,median-zscore-pca80-gmm,2,1286,True,0.31959564541213065,0.8022779186294723,0.09886104068526386
GLU0,median-zscore-pca80-gmm,3,1286,True,0.31959564541213065,0.8022779186294723,0.09886104068526386
GLU0,median-zscore-pca80-gmm,4,1286,True,0.31959564541213065,0.8022779186294723,0.09886104068526386
GLU0,median-robust-pca80-gmm,0,1286,True,0.39346811819595645,0.9721257447560541,0.013937127621972967
GLU0,median-robust-pca80-gmm,1,1286,True,0.39346811819595645,0.9721257447560541,0.013937127621972967
GLU0,median-robust-pca80-gmm,2,1286,True,0.39346811819595645,0.9721257447560541,0.013937127621972967
GLU0,median-robust-pca80-gmm,3,1286,True,0.39346811819595645,0.9721257447560541,0.013937127621972967
GLU0,median-robust-pca80-gmm,4,1286,True,0.39346811819595645,0.9721257447560541,0.013937127621972967
GLU0,median-zscore-none-kmeans,0,1286,True,0.3048211508553655,0.9279319234350191,0.036034038282490466
GLU0,median-zscore-none-kmeans,1,1286,True,0.3024883359253499,0.9340416176345349,0.03297919118273257
GLU0,median-zscore-none-kmeans,2,1286,True,0.3024883359253499,0.9340416176345349,0.03297919118273257
GLU0,median-zscore-none-kmeans,3,1286,True,0.3055987558320373,0.9279323740497156,0.03603381297514219
GLU0,median-zscore-none-kmeans,4,1286,True,0.30171073094867806,0.9402047382241919,0.029897630887904036
GLU120,median-zscore-pca80-gmm,0,1286,True,0.2978227060653188,0.7958601702984124,0.10206991485079381
GLU120,median-zscore-pca80-gmm,1,1286,True,0.2978227060653188,0.7958601702984124,0.10206991485079381
GLU120,median-zscore-pca80-gmm,2,1286,True,0.29937791601866254,0.8015947027902893,0.09920264860485534
GLU120,median-zscore-pca80-gmm,3,1286,True,0.2978227060653188,0.7958601702984124,0.10206991485079381
GLU120,median-zscore-pca80-gmm,4,1286,True,0.29937791601866254,0.8015947027902893,0.09920264860485534
GLU120,median-robust-pca80-gmm,0,1286,True,0.3942457231726283,0.9813740498654465,0.00931297506727674
GLU120,median-robust-pca80-gmm,1,1286,True,0.3942457231726283,0.9813740498654465,0.00931297506727674
GLU120,median-robust-pca80-gmm,2,1286,True,0.3942457231726283,0.9813740498654465,0.00931297506727674
GLU120,median-robust-pca80-gmm,3,1286,True,0.3942457231726283,0.9813740498654465,0.00931297506727674
GLU120,median-robust-pca80-gmm,4,1286,True,0.3942457231726283,0.9813740498654465,0.00931297506727674
GLU120,median-zscore-none-kmeans,0,1286,True,0.3110419906687403,0.8975776973062709,0.05121115134686455
GLU120,median-zscore-none-kmeans,1,1286,True,0.3110419906687403,0.8945390112571042,0.05273049437144789
GLU120,median-zscore-none-kmeans,2,1286,True,0.3118195956454121,0.8915449875307964,0.05422750623460182
GLU120,median-zscore-none-kmeans,3,1286,True,0.3110419906687403,0.8945390112571042,0.05273049437144789
GLU120,median-zscore-none-kmeans,4,1286,True,0.3110419906687403,0.8975403207159065,0.05122983964204675
INS0,median-zscore-pca80-gmm,0,1286,True,0.32892690513219286,0.9379161174699704,0.031041941265014805
